PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AR,23-1023,"Judges, Magistrate Judges, and Magistrates",220,"181,800","168,790","168,790","192,910","192,910","192,910"
AR,23-2011,Paralegals and Legal Assistants,"1,400","62,540","34,740","38,460","46,940","57,660","77,330"
AR,23-2093,"Title Examiners, Abstractors, and Searchers",630,"48,250","31,030","36,700","40,900","57,670","63,620"
AR,23-2099,"Legal Support Workers, All Other",310,*,*,*,*,*,*
AR,25-0000,Educational Instruction and Library Occupations,"73,460","54,690","27,850","38,160","50,200","60,900","75,990"
AR,25-1011,"Business Teachers, Postsecondary",760,"83,030","50,220","53,970","63,170","107,230","135,040"
AR,25-1021,"Computer Science Teachers, Postsecondary",250,"65,070","22,880","43,680","64,750","81,350","107,120"
AR,25-1022,"Mathematical Science Teachers, Postsecondary",390,"63,870","44,290","48,700","59,060","67,970","90,870"
AR,25-1031,"Architecture Teachers, Postsecondary",50,"76,560","51,670","61,640","77,590","79,990","103,280"
AR,25-1032,"Engineering Teachers, Postsecondary",280,"99,370","50,800","75,580","103,190","105,450","135,520"
AR,25-1041,"Agricultural Sciences Teachers, Postsecondary",190,"72,170","51,320","55,380","58,630","87,570","108,980"
AR,25-1042,"Biological Science Teachers, Postsecondary",370,"67,660","46,460","57,410","64,610","77,440","86,250"
AR,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",50,"77,220","40,130","44,340","72,090","79,080","132,840"
AR,25-1052,"Chemistry Teachers, Postsecondary",190,"76,870","49,160","62,100","67,450","81,030","106,000"
AR,25-1053,"Environmental Science Teachers, Postsecondary",80,"59,310","51,190","57,630","59,050","61,890","68,900"
AR,25-1054,"Physics Teachers, Postsecondary",90,"95,500","50,820","62,980","81,350","103,520","137,840"
AR,25-1061,"Anthropology and Archeology Teachers, Postsecondary",40,"78,060","55,910","56,840","62,380","98,030","108,100"
AR,25-1063,"Economics Teachers, Postsecondary",60,"95,700","67,250","68,080","100,110","129,740","131,180"
AR,25-1065,"Political Science Teachers, Postsecondary",140,"70,340","52,150","55,270","62,710","80,620","102,400"
AR,25-1066,"Psychology Teachers, Postsecondary",220,"66,580","48,000","53,020","62,880","80,510","86,720"
AR,25-1067,"Sociology Teachers, Postsecondary",100,"79,750","46,330","58,980","71,400","83,130","143,560"
AR,25-1069,"Social Sciences Teachers, Postsecondary, All Other",130,"63,860","49,620","56,610","56,630","60,090","80,500"
AR,25-1071,"Health Specialties Teachers, Postsecondary","1,980","160,210","49,510","77,840","178,830","223,300","223,300"
AR,25-1072,"Nursing Instructors and Teachers, Postsecondary",800,"68,370","48,520","61,740","64,330","76,870","91,310"
